season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
3,0,9,1,3,0,2,27.606653,31.2823,79.0417,14.250632,3351
4,0,12,0,0,0,1,12.880847,16.57165,62.5833,6.750518,3940
4,1,12,0,3,1,1,19.509153,23.4527,73.375,11.666643,6606
1,1,3,0,0,0,2,21.080847,25.2523,75.5833,7.417168,7836
2,0,5,0,4,1,2,23.028347,26.92645,83.7917,18.582718,4123
4,1,10,0,2,1,3,18.04,21.97,88.0,23.9994,22
1,0,1,0,0,0,2,8.057402,10.44195,49.8696,11.304642,1510
1,1,1,0,2,1,1,11.5825,13.63605,31.125,16.08335,3243
3,0,9,0,6,0,3,25.990433,27.76805,93.9565,12.914116,1842
3,0,7,0,0,0,1,29.6225,32.6081,39.625,6.874736,5362
4,1,10,0,3,1,1,22.310847,26.5152,64.1667,6.3345686,7466
2,0,5,0,6,0,1,29.041653,32.7344,67.75,13.376014,4677
3,1,7,1,4,0,1,32.355847,36.61685,53.875,9.04165,7403
2,0,5,0,0,0,2,21.0125,24.715,86.3333,12.041575,4105
3,1,8,0,1,1,1,31.535847,36.55395,65.25,19.458207,5464
2,1,3,0,3,1,1,13.256653,15.7827,29.0,12.541864,5102
1,0,2,0,0,0,1,7.752731,10.67545,50.6364,7.27285,1746
2,0,4,0,4,1,2,20.739153,24.4629,66.5833,10.584057,3204
4,0,10,0,2,1,1,22.174153,26.19915,72.75,4.25115,5511
1,0,2,0,1,1,1,11.5825,14.1096,53.7917,12.500257,1969
3,1,6,0,6,0,1,34.200847,39.33065,48.875,11.082939,5463
3,1,8,0,4,1,1,28.085,31.78665,55.2083,7.541654,7697
4,0,12,0,3,1,2,15.819153,19.69625,82.7083,4.1679561,3811
3,1,6,0,1,1,1,30.476653,33.7127,47.9167,9.750175,6891
1,0,1,0,4,1,2,9.162598,11.7263,61.6957,8.696332,1985
4,0,10,0,4,1,2,21.8325,26.13605,70.1667,7.375829,4748
3,0,7,0,3,1,1,30.613347,35.19625,65.125,14.458868,4458
3,1,8,0,5,1,1,28.973347,32.63895,59.0417,5.1668189,7713
1,1,1,0,1,1,1,16.126653,19.53895,53.1667,11.708786,4521
4,0,10,0,6,0,1,19.509153,23.32625,63.625,28.292425,4195
2,0,4,0,6,0,1,18.825847,22.6946,40.7083,21.792286,4189
2,0,3,0,6,0,2,11.685,13.54165,80.5833,16.333729,1865
1,0,2,1,3,0,2,12.436653,14.20375,60.5,20.625682,1107
1,1,2,0,1,1,2,10.830847,13.63625,77.9583,8.167032,2832
3,1,8,0,4,1,2,30.75,35.38585,67.2917,7.4169,7534
2,1,5,0,0,0,1,24.6,28.3454,45.625,5.626325,8294
4,0,10,0,1,1,1,17.3225,21.2746,62.9167,6.2086689,4308
4,1,10,0,3,1,1,19.201653,23.0423,55.8333,12.208807,7534
4,1,10,0,4,1,2,14.6575,18.055,66.6667,11.166689,5566
4,1,11,0,2,1,1,12.846653,16.9502,53.5417,3.12555,5087
3,0,8,0,3,1,1,31.638347,35.1646,55.0833,10.500039,4266
1,0,1,0,5,1,2,11.979134,14.9211,74.1739,13.957239,1650
2,1,6,0,6,0,1,26.205847,29.9877,58.9583,11.833339,7665
3,0,9,0,6,0,2,25.761653,27.74815,90.2083,8.584375,4795
4,0,10,0,5,1,3,22.211299,25.6924,89.5217,16.303713,2424
2,1,4,0,5,1,2,20.431653,24.17915,75.6667,11.833875,5026
2,0,3,0,0,0,1,10.830847,12.8156,49.5,15.458575,2210
1,0,3,0,6,0,1,8.131653,10.00665,31.8333,15.125518,1685
3,1,6,0,3,1,1,25.864153,29.7352,37.3333,23.292014,7442
1,1,2,0,4,1,1,14.725847,17.67625,39.5833,12.958939,4363
1,0,1,0,2,1,1,8.877402,12.5161,72.2174,4.9568342,1096
1,1,3,0,3,1,1,22.994153,26.92665,80.7917,8.125157,6093
3,0,7,0,2,1,1,33.039153,36.4898,48.0833,11.042471,4302
4,0,10,0,3,1,1,18.996653,22.85335,77.2083,7.959064,4187
3,1,9,0,6,0,1,24.565847,28.59855,66.875,10.333343,8167
3,0,7,0,1,1,1,30.271653,33.3654,44.4583,7.709154,5119
2,1,6,0,4,1,1,22.720847,27.1146,61.125,5.167375,7055
4,0,11,0,5,1,3,18.723347,22.5994,93.0,9.167543,1817
4,1,12,0,1,1,2,15.750847,19.5073,90.5417,10.584325,3228
4,0,12,0,3,1,1,11.343347,14.04665,63.75,11.584032,3403
3,1,8,0,3,1,2,30.169153,34.88105,70.375,7.832836,7273
3,0,8,0,2,1,1,28.989419,32.39795,56.1765,20.412153,4334
4,0,11,1,6,0,1,15.306653,18.62355,54.9167,11.209368,1495
3,0,7,0,0,0,1,34.371653,39.29835,54.25,11.667246,3846
1,1,1,0,6,0,1,10.899153,13.9206,52.4167,8.709129,3272
4,1,12,0,2,1,2,17.869153,21.77875,92.5,12.750636,5170
3,0,6,0,2,1,1,27.88,31.88145,51.3333,6.3337311,5305
1,1,1,0,4,1,2,15.294763,18.2139,71.6087,23.39171,2935
4,0,11,0,4,1,2,18.791653,22.56875,83.0833,17.292164,2914
2,1,6,0,1,1,1,24.2925,28.59875,59.875,9.708568,6978
3,1,7,0,6,0,2,29.998347,33.39665,48.5833,5.41695,7499
2,0,5,0,5,1,2,22.55,26.3579,87.0,13.499964,3855
4,0,11,1,0,0,1,13.290847,15.34085,44.625,21.083225,3368
4,1,11,0,5,1,2,13.188347,16.2246,62.0417,10.250129,5445
4,1,10,1,2,0,2,15.716653,19.3804,70.9583,12.708493,5478
2,0,6,0,3,1,1,26.035,30.0827,49.4583,20.45845,5020
1,0,12,0,4,1,2,13.325,16.38165,76.25,12.62615,1162
4,1,10,0,4,1,2,26.9575,29.95665,79.375,4.4585686,7572
3,1,9,0,3,1,2,25.556653,28.25335,87.25,23.958329,4073
4,1,12,0,5,1,1,12.129153,14.7094,48.5833,11.666643,5532
4,0,11,0,4,1,1,16.741653,20.6123,72.1667,4.6255125,4205
4,0,11,0,5,1,1,13.325,15.56105,61.3333,18.167586,3613
2,1,4,0,2,1,1,17.790433,21.37565,50.4348,20.913313,5936
2,0,4,1,0,0,1,18.313347,22.09565,67.125,15.167125,3126
2,0,4,0,3,1,1,24.873347,28.725,77.6667,12.417311,4073
4,1,10,0,5,1,2,21.4225,25.63125,72.8333,15.874779,7509
4,0,11,0,1,1,1,15.409153,19.25435,68.1667,4.5841936,3068
4,1,10,0,4,1,1,18.689153,22.5054,69.2917,6.791857,7461
3,1,6,0,6,0,1,31.8775,36.20605,57.375,12.250414,5823
2,0,4,0,2,1,1,15.511653,18.93835,48.0,12.208271,3249
1,0,1,0,1,1,2,6.765,8.1127,53.5833,17.875868,959
2,0,3,0,6,0,3,11.001653,12.87875,91.8333,14.582282,1685
3,1,8,0,2,1,1,28.836653,32.7344,73.0417,8.625111,6917
3,1,7,0,4,1,1,29.690847,32.7027,45.0,11.0416,8173
1,1,3,0,0,0,2,16.980847,20.6746,62.125,10.792293,4066
4,1,11,0,5,1,1,14.439134,17.09455,33.3478,23.304945,5315
3,1,9,0,5,1,2,28.563347,32.76645,81.0417,9.542207,6203
2,1,5,0,4,1,1,23.130847,26.8948,79.7083,9.249886,6169
1,1,2,0,3,1,1,9.1225,11.39565,41.125,11.207961,3422
4,1,11,0,1,1,1,10.079153,12.87915,46.8333,10.0835,2424
2,0,5,0,1,1,1,24.7025,28.59875,62.6667,8.08355,5805
1,0,1,0,1,1,1,8.057402,10.6063,65.1739,9.739455,1098
1,0,2,0,2,1,1,12.977402,16.20565,45.7391,17.479161,1589
1,0,2,0,1,1,1,9.1225,11.6477,54.4167,13.625589,1472
1,0,3,0,4,1,2,13.013031,15.9089,65.5652,12.348703,2056
2,0,6,0,0,0,1,26.615847,30.01915,73.5833,9.582943,4844
2,1,6,0,2,1,2,29.554153,32.98605,58.7917,13.916771,6664
4,1,10,0,2,1,2,21.354153,25.6,64.9167,6.0838814,6778
1,0,3,0,4,1,1,11.9925,15.12,42.0833,8.08355,2133
1,0,1,0,5,1,1,7.081807,8.02365,59.9545,20.410009,1162
4,0,12,0,5,1,3,16.81,20.0123,97.0417,17.833725,705
3,0,6,0,4,1,1,30.510847,34.6279,63.4167,9.666961,4648
2,1,5,0,4,1,2,25.488347,29.2306,77.4583,6.834,5260
2,1,4,0,1,1,1,24.873347,28.69375,50.7917,15.083643,7132
3,0,6,0,3,1,2,27.9825,31.8502,65.8333,7.208396,4708
2,1,5,0,6,0,1,21.866653,26.04165,36.0417,15.874779,7030
3,1,8,0,0,0,1,32.526653,37.56335,61.3333,17.249686,6824
3,0,9,0,6,0,2,23.6775,27.68355,70.9167,18.166782,3659
4,1,10,0,5,1,1,17.835,21.55835,46.3333,12.166932,7570
1,0,1,0,2,1,1,9.498347,11.71085,48.375,12.625011,1204
4,1,11,0,5,1,2,14.999153,18.4971,58.1667,10.542182,5986
3,0,9,0,5,1,1,27.606653,31.345,69.7083,11.2091,4785
4,0,11,0,6,0,1,16.741653,20.29605,70.2083,9.166739,3974
4,0,11,0,2,1,2,18.996653,22.8529,68.4583,12.45865,3520
1,1,12,0,1,1,1,10.489153,11.585,48.3333,23.500518,1796
1,1,2,0,5,1,1,19.235847,23.3269,50.7917,12.667489,4579
2,1,5,0,3,1,1,29.6225,33.6496,68.4583,19.7918,5743
2,1,4,0,1,1,1,20.5,24.62125,27.5833,15.583932,5169
1,1,1,1,3,0,1,7.79,9.53315,52.25,15.500986,2298
1,0,1,0,3,1,1,6.184153,7.5444,48.2917,14.958889,1321
3,0,9,0,5,1,3,24.565847,27.21145,91.7083,6.5003936,1996
1,0,1,0,2,1,1,3.9573897,4.941955,43.6522,16.5222,986
3,0,8,0,5,1,1,31.433347,34.24915,42.4167,13.417286,4780
2,1,4,0,0,0,2,15.443347,18.8752,48.9583,8.708325,4220
4,1,12,0,1,1,2,14.8625,18.4969,83.875,6.749714,3786
3,1,9,0,4,1,1,22.6525,27.0202,53.6667,14.416725,7591
3,1,9,0,1,1,2,28.563347,32.45,81.5,4.2927436,5810
3,0,7,0,1,1,1,34.815847,40.21435,50.0,8.791807,3285
2,1,3,0,6,0,2,24.668347,28.50335,69.4167,7.7921,8362
2,0,4,0,3,1,1,23.506653,27.14645,42.625,25.833257,3115
4,0,11,0,3,1,1,20.642598,24.5061,74.3043,9.522174,3867
2,1,6,0,6,0,2,26.820847,30.3981,75.5417,15.916721,4127
2,1,5,0,3,1,2,25.146653,28.85105,65.9583,10.458432,5740
4,0,10,0,5,1,3,22.276653,25.88585,90.625,16.62605,2416
3,0,7,1,3,0,2,29.793347,33.27085,63.7917,5.4591064,6043
3,1,8,0,1,1,1,28.734153,32.22895,53.0417,8.208304,6544
4,0,11,0,0,0,1,15.375,19.03355,64.375,6.6260186,2792
2,0,6,0,0,0,1,25.42,29.35665,35.4167,16.959107,5312
1,0,3,0,6,0,1,17.015,20.51665,60.2917,14.041793,2744
3,1,8,0,5,1,1,30.989153,34.9754,62.0417,10.4587,7286
4,0,10,0,5,1,1,22.071653,26.3569,64.7917,11.87575,4826
1,0,3,0,6,0,3,15.952731,19.2834,0.0,17.545759,623
1,1,3,0,6,0,2,14.486653,17.9921,65.7083,9.708568,3194
3,0,7,0,0,0,2,29.075847,33.52415,75.7917,15.083643,4040
4,0,9,0,6,0,1,25.283347,28.7256,69.9167,11.583161,4839
3,0,8,0,6,0,2,28.050847,32.2927,77.1667,14.125811,3542
2,0,3,0,5,1,2,12.3,14.8675,64.6667,11.583496,1536
3,1,9,0,3,1,1,23.6775,27.7146,52.0,6.1676314,7767
2,0,4,0,6,0,2,25.3175,28.94645,70.0833,21.500836,4058
2,0,5,0,0,0,1,19.645847,23.70585,59.0,15.292482,4608
3,1,8,0,4,1,1,27.3675,31.0927,67.7083,4.7089811,7375
4,0,10,0,3,1,1,21.900847,25.53625,57.9583,11.750393,4570
3,0,8,0,1,1,2,27.88,31.7778,85.0,25.166339,1115
1,0,1,0,1,1,2,14.110847,18.18125,80.5833,10.749882,985
1,1,12,0,1,1,1,10.079153,12.97355,51.5417,8.916561,1787
3,1,7,0,1,1,2,27.3675,31.15625,76.25,6.2926936,7410
4,1,9,0,6,0,2,25.385847,29.29315,69.0,10.999993,7415
3,1,8,0,6,0,2,29.349153,33.3971,71.5833,16.000471,5786
4,0,10,0,6,0,1,20.260847,24.02125,62.0833,9.041918,4765
2,0,4,0,5,1,2,25.42,28.7571,83.5417,20.9174,3872
3,0,8,0,5,1,1,29.656653,33.33355,57.5417,9.625689,4694
1,1,2,0,6,0,2,12.983347,16.5081,75.2917,6.125475,3005
1,0,12,0,6,0,1,10.181653,13.1946,57.4167,8.000604,2423
4,0,10,0,2,1,2,14.623347,17.26585,79.1667,14.874871,2918
4,0,11,0,4,1,2,21.73,25.37895,68.875,13.375411,4195
2,1,5,0,4,1,2,23.575,27.65125,74.4167,14.499604,4717
2,0,5,0,5,1,1,27.094153,30.7771,69.625,10.333611,4978
1,1,3,0,2,1,1,9.976653,12.05855,50.625,15.333486,3333
1,1,2,0,1,1,1,11.924153,12.78375,39.5833,28.250014,2732
4,1,10,0,2,1,1,19.9875,24.1471,56.8333,5.4593811,7058
2,1,6,0,0,0,1,25.898347,29.7354,50.4167,11.166689,7702
4,0,9,0,3,1,2,26.615847,29.4521,84.8333,7.4169,4630
2,1,5,0,4,1,2,26.923347,30.55645,67.0,9.000043,6855
4,0,11,0,0,0,2,16.536653,20.1696,62.25,18.209193,4046
4,0,11,0,3,1,1,16.195,20.04355,75.875,3.834075,4035
1,0,2,0,5,1,1,13.048701,15.81,42.3478,16.869997,2115
3,0,9,0,3,1,2,22.515847,26.48375,69.0,10.166714,4539
3,0,7,0,0,0,1,27.196653,31.21855,59.125,12.249811,5538
1,1,12,0,2,1,2,8.849153,11.17435,57.75,10.374682,2729
3,1,9,1,2,0,1,29.0075,33.08145,79.0833,10.125107,6034
2,0,4,0,3,1,1,21.0125,25.1573,54.25,10.958989,3429
1,0,3,0,4,1,1,10.933347,13.19395,53.5,14.500475,1851
3,1,6,0,0,0,1,31.365,34.3754,60.125,10.791757,5687
2,1,4,0,5,1,1,20.431653,24.6523,61.25,4.4172564,6565
2,0,4,0,3,1,2,24.421732,28.26085,71.6956,21.739758,3348
1,1,1,0,4,1,1,15.99,19.06585,41.6667,17.541739,4509
4,1,10,0,2,1,2,23.028347,26.9575,70.75,19.834479,5875
2,1,6,0,5,1,1,26.581653,31.21915,56.9583,17.000111,7363
1,1,1,0,0,0,1,11.240847,12.4681,50.75,25.333236,3214
3,0,6,0,5,1,1,29.861653,32.7344,49.7917,17.542007,5225
4,0,11,0,4,1,1,16.434153,19.8544,68.375,9.083257,4068
1,0,12,0,1,1,1,12.4025,14.9621,54.25,12.750368,1011
1,1,1,0,3,1,1,11.035847,13.13125,40.0833,14.458064,3624
4,1,12,0,2,1,1,18.5525,22.7898,76.75,5.5422936,6234
2,0,5,1,3,0,1,30.066653,33.5546,68.5,8.792075,4098
2,0,5,0,6,0,1,18.825847,22.09585,44.4167,19.791264,4433
3,1,7,0,3,1,1,29.246653,33.1448,70.4167,11.083475,7216
4,1,9,0,4,1,1,26.035,29.83065,63.0833,16.3748,7733
3,0,7,0,4,1,1,30.613347,34.8169,59.0417,8.459286,4665
2,1,4,0,2,1,2,13.188347,15.05625,76.6667,20.334232,3214
3,1,7,0,0,0,2,28.836653,33.3021,69.9167,9.626493,6969
4,1,12,0,0,0,1,13.290847,16.91915,65.0417,7.12545,5047
1,1,12,0,6,0,2,13.393347,15.08835,55.6667,25.083661,3623
1,1,1,0,4,1,1,14.0425,17.4554,83.5833,8.292389,4339
4,0,11,0,0,0,1,11.240847,13.63605,41.0,11.291711,3392
4,0,12,0,4,1,2,15.819153,19.8227,59.5417,4.1252436,3750
4,1,11,0,1,1,1,13.359153,16.4769,53.2917,12.000236,5107
2,0,5,0,3,1,2,25.898347,29.5148,81.0,15.667414,4274
2,0,5,0,2,1,1,24.770847,28.725,74.9583,9.916536,4660
1,1,3,0,6,0,2,17.869153,21.81145,84.2083,7.583864,4378
4,0,11,0,6,0,2,14.008347,16.16105,57.5833,20.459254,3053
1,0,1,0,6,0,2,10.728347,12.7525,53.8333,13.125568,1927
3,0,6,0,5,1,1,30.066653,34.69145,70.75,11.541554,4507
4,1,9,0,1,1,1,21.695847,25.94665,46.7083,14.958286,7907
4,0,11,0,5,1,1,16.4,20.45395,75.8333,4.1671186,4109
4,1,11,0,0,0,1,15.955847,19.69685,64.5417,3.8756686,6536
1,0,1,0,6,0,1,6.765,7.54415,47.0417,20.167,1406
4,0,11,0,5,1,1,15.4775,19.50665,71.875,5.5001439,4186
1,0,12,0,5,1,2,17.561653,21.40085,85.8333,14.8338,2660
1,0,1,0,5,1,3,8.9175,10.18,86.25,19.68795,506
3,1,6,0,5,1,1,30.715847,33.7756,42.25,11.50055,6879
2,0,6,0,2,1,2,28.665847,32.2923,66.6667,6.834,4744
1,0,2,0,4,1,1,9.054153,9.9123,53.7917,24.25065,1530
2,1,3,0,4,1,1,19.850847,23.5475,48.125,19.541957,5698
3,0,9,0,1,1,1,27.435847,31.66065,71.6667,12.416775,4484
4,0,10,0,5,1,2,19.850847,23.6423,72.0417,9.959014,3894
3,1,8,0,3,1,1,26.615847,30.05125,67.375,4.8756436,7006
4,0,9,0,0,0,1,23.130847,27.24145,64.75,13.833825,5202
2,0,6,0,1,1,1,26.035,29.7348,45.625,8.250514,5342
2,0,5,0,1,1,1,21.32,25.63105,54.125,10.75015,4714
2,1,6,0,1,1,1,24.7025,28.75665,49.3333,12.333829,7641
4,0,12,0,6,0,1,10.899153,12.8469,58.0,16.083886,3322
4,0,10,0,1,1,1,20.773347,24.93625,48.3333,17.291561,5217
2,0,4,0,2,1,2,23.848347,27.58815,81.0833,12.875725,4191
1,1,2,0,0,0,1,14.076653,17.58145,63.4583,13.791682,4154
3,0,6,0,6,0,2,29.861653,34.69165,70.3333,15.999868,4790
1,0,12,1,3,0,1,13.191299,15.77675,50.6957,16.044155,1317
4,1,11,0,6,0,1,14.555,17.8021,52.2083,17.833725,5847
1,0,2,0,2,1,1,14.082598,17.55545,68.0,8.391616,2402
2,1,5,0,5,1,1,20.739153,24.58915,55.2083,21.042221,6572
3,0,8,0,6,0,1,29.4175,32.57605,42.375,11.041332,4792
4,0,10,0,1,1,1,21.388347,25.6621,70.125,3.0420814,5409
1,0,1,0,4,1,2,8.883347,11.61665,86.1667,9.833925,683
2,1,3,0,6,0,2,15.17,18.78105,58.0833,9.250489,5459
4,0,11,0,1,1,1,13.495847,16.22415,50.2083,15.041232,3663
3,0,9,0,4,1,1,26.684153,30.1777,71.25,9.500868,4763
2,1,4,0,4,1,1,14.296536,16.8637,46.9565,19.783358,4862
4,1,12,0,0,0,2,12.231653,15.8452,80.6667,4.0001814,5191
3,0,7,0,2,1,1,30.6475,34.50125,57.8333,12.292557,4881
2,1,5,0,1,1,2,23.0625,27.33685,74.0,10.041893,6359
4,1,10,0,1,1,2,17.049153,20.99065,70.8333,9.457854,3510
1,1,2,0,4,1,1,11.800866,14.75565,59.4348,13.783039,3777
2,0,4,0,4,1,2,16.980847,19.9175,64.2083,26.000489,1795
3,0,6,0,6,0,1,28.563347,31.8504,43.4167,12.415904,5515
4,0,10,0,1,1,3,10.420847,11.39565,88.25,23.541857,627
4,1,10,0,1,1,1,19.030847,22.82145,51.0,11.125618,6824
3,1,6,0,5,1,1,33.039153,37.6271,56.7917,7.958729,5905
2,1,5,0,3,1,2,25.215,29.04125,76.5833,7.917189,6073
4,1,11,0,2,1,2,15.614153,18.78105,62.3333,15.749489,5499
4,1,10,0,0,0,1,22.720847,26.92605,66.4167,17.957675,7965
2,1,4,0,3,1,1,16.946653,20.26415,45.4167,16.708661,5633
1,0,1,0,6,0,1,8.378268,11.66045,51.8261,6.0008684,1606
4,1,12,0,2,1,2,16.126653,20.075,90.7083,6.5833061,4585
1,0,2,0,4,1,1,10.909567,12.7137,31.4348,19.522058,1815
2,1,3,0,5,1,1,22.720847,26.57835,83.125,7.876654,6871
3,1,7,0,5,1,1,33.9275,38.06835,45.7917,12.999943,6241
3,0,6,0,4,1,2,27.914153,31.8823,77.0417,11.458675,4835
1,0,1,1,3,0,2,7.209153,8.83855,53.75,12.999139,1000
1,0,2,0,0,0,1,21.388347,25.59915,51.6667,17.749975,2927
4,1,12,0,6,0,2,13.154153,16.0979,76.4167,8.7502,5008
4,1,10,0,3,1,2,13.045462,15.49545,82.5455,14.271603,1096
1,0,1,0,4,1,1,8.2,10.6061,59.0435,10.739832,1562
2,1,5,0,4,1,1,26.103347,29.79875,69.7917,8.208304,7424
3,1,8,0,1,1,2,26.786653,29.7998,84.5833,15.333486,5255
4,0,11,0,2,1,1,18.074153,21.5275,45.8333,18.875307,3717
4,1,11,0,0,0,2,14.076653,16.1923,49.125,18.125443,5138
4,0,10,0,4,1,2,23.233347,27.3048,80.875,9.583814,4563
2,0,4,0,6,0,1,17.9375,21.6848,60.2917,10.874904,3141
4,0,10,0,6,0,2,24.155847,27.5902,89.6667,9.499729,2913
3,1,9,0,3,1,1,29.759153,34.3444,75.5,15.833507,6864
